# TETR.IO 日本語化 翻訳データ
# フォーマット: en|jp
# - 通常行          → テキストノードの完全一致で置換
# - ^ または \ を含む → 正規表現マッチ（jp で $1,$2 使用可）
# - [*] を含む行     → 段落書き換え（[*] が cheeky スパン位置を示す）
#   例: prefix [*]        → 段落テキストが prefix で始まる場合に置換
#   例: prefix [*] suffix → 始まりと終わりの両方が一致する場合に置換
#   例: [*] suffix        → 段落テキストが suffix で終わる場合に置換

# ── 完全一致 ─────────────────────────────────────────────────────────────────

# Base
EXIT|終了
BACK|戻る
CANCEL|キャンセル
START|開始
SPECTATE|観戦
GOT IT!|確認しました
RESET|リセット

# 設定項目
ENABLE|有効
DISABLE|無効
NOT ENABLED|有効になっていません
CHANGE|変更
ǹ CHANGE|ǹ 変更
REMOVE|削除
ǹ REMOVE|ǹ 削除
SAVE|保存
ǹ SAVE|ǹ 保存
NOBODY|なし
MY FRIENDS|フレンドのみ
EVERYONE|全員
NEVER|無効
WHEN NEEDED|必要時
ALWAYS|常時
MINIMAL|最低
LOW|低
MEDIUM|中
HIGH|高
ULTRA|最高
WEAK|弱
STRONG|強
SLOW|低速
FAST|高速
TEST|テスト
OFF|オフ
ON|オン
SOME|制限
HOLD|ホールド
TAP|タップ
STIFF|硬い
BOUNCY|弾む
SHAKY|揺れる
TRANSPARENT|透明
OPAQUE|不透明
FAR|遠い
NEAR|近い
FEW|少ない
LOTS|多い

# ゲーム内UI
joining room…|参加中...
getting ready to spectate…|観戦の準備中...
message...|メッセージを入力...
KEEP HOLDING TO FORFEIT|長押しで降参

# ソーシャル
PEOPLE|ソーシャル
FIND SOMEONE...|誰かを見つける...
ALL|全て
ONLINE|オンライン
OFFLINE|オフライン
BLOCKED|ブロック済み
You haven't blocked anyone yet.|まだ誰もブロックしていません。
PROFILE|プロフィール
GIFT|ギフト
Please be civil. Staff will never ask for your credentials.|マナーを守ってください。スタッフがあなたの認証情報を尋ねることは決してありません。
Achievement get!|実績獲得！
^.* friended you back|あなたをフレンドに追加しました
added you to their friends list|あなたをフレンドリストに追加しました
career best|自己ベスト
^JOINED (\d+) DAYS AGO|$1日前に参加
^(\d+)\s+HOURS|$1時間
^(\d+)\s+DAYS|$1日
^(\d+)\s+YEARS|$1年
ago|前

INGAME|ゲーム内
In Menus|メニュー
Playing|プレイ中：
Spectating|観戦中：
JOIN|参加

# Main Menu
#共通
LEADERBOARDS|リーダーボード
Ǳ LEADERBOARDS|Ǳ リーダーボード
PERSONAL BEST|自己ベスト
OPTIONS|設定
    pro mode|プロモード
    alert on finesse fault|無駄なキー入力時に警告
    retry on finesse fault|無駄なキー入力時にリトライ
    stride mode|ストライドモード
ADVANCED|高度な設定
    left counter slot 1|左カウンタースロット 1
    left counter slot 2|左カウンタースロット 2
    left counter slot 3|左カウンタースロット 3
    left counter slot 4|左カウンタースロット 4
    right counter slot|右カウンタースロット

    ---default---|---デフォルト---

press START to begin playing|STARTを押してプレイ開始

MULTIPLAYER|マルチプレイヤー
play online with friends and foes|友達やライバルとオンラインで対戦

    enter room id or url and hit enter...|部屋IDまたはURLを入力してEnterキーを押してください...

    QUICK PLAY|クイックプレイ
    scale the tower! how far can you get?|タワーを登りましょう！どこまで行けるでしょうか？

        welcome to the ZENITH TOWER! send lines and KO enemies to scale the tower.|ゼニスタワーへようこそ！ラインを送り、敵をKOしてタワーを登りましょう。
        the further up the tower, the stronger the opponents!|タワーの上に行くほど、相手は強くなります！
        leaderboards reset every week, how far can you get?|リーダーボードは毎週リセットされます。頑張って！

        THIS WEEK'S PERSONAL BEST|今週の個人ベスト

        ADD OR REMOVE MODS|MODの追加または削除

        scale the tower!|タワーを登りましょう！

    TETRA LEAGUE|TETRA LEAGUE
    fight players of your skill in ranked duels|ランクマッチで実力の近いプレイヤーと対戦

        WELCOME TO TETRA LEAGUE|TETRA LEAGUEへようこそ
        TETRA LEAGUE is a competitive 1v1 mode. win duels against players of similar skill to rank up and conquer the leaderboards!|TETRA LEAGUEは競技性の高い1v1モードです。実力の近いプレイヤーとのデュエルに勝利してランクアップし、リーダーボードを征服しましょう！
        if you're new to stackers or are feeling rusty, it's a good idea to practice in other modes first.|スタッカーに不慣れな場合や、腕が鈍っていると感じている場合は、最初に他のモードで練習することをお勧めします。
        make sure you have the time and connection to play! if you leave or disconnect early, you must rejoin immediately or you will be penalized.|プレイするための時間と接続があることを確認してください！早期に退出または切断した場合は、すぐに再参加する必要があります。そうしないとペナルティが課されます。

        ^/(\d+) rating games played|/$1 レート戦プレイ済み
        play rating games to receive a rating|レート戦をプレイしてレーティングを獲得しましょう

        ^.*IN QUEUE.*| 人がキュー内 -
        ^.*IN GAME.*| 人がゲーム中

        ENTER MATCHMAKING|マッチメイキング
        LEAVING EARLY IS PUNISHED|早期退出はペナルティの対象となります

        HOW DOES IT WORK?|ゲームシステム
        enter matchmaking and you will be matched up with a player of similar skill in a game of 1v1 VERSUS.|マッチメイキングに参加すると、実力の近いプレイヤーと1v1の対戦ゲームでマッチングされます。
        win games to gain TR and rank up! you must play at least 10 games to see your TR. to get a RANK and enter the GLOBAL LEADERBOARDS, keep playing consistently.|ゲームに勝利してTRを獲得し、ランクアップしましょう！TRを見るには少なくとも10ゲームをプレイする必要があります。RANKを獲得してGLOBAL LEADERBOARDSに入るには、継続的にプレイし続けてください。
        if you leave the game early at any point, you must rejoin immediately or you will be penalized. go conquer the ranks!|ゲームを早期に退出した場合は、すぐに再参加する必要があります。そうしないとペナルティが課されます。ランクを征服しましょう！

        face off against others and rise up through the ranks!|他のプレイヤーと対戦してランクを上げましょう！

    CUSTOM GAME|カスタムゲーム
    create public and private rooms to play by your rules|ルールを設定して公開・非公開の部屋を作成

    ROOM LISTING|部屋一覧
    join public games|公開ゲームに参加

    pick a game mode|ゲームモードを選択

SOLO|シングルプレイヤー
challenge yourself and top the leaderboards|自分自身との戦いをし、ランキングのトップを目指す

    40 LINES|40 LINES
    complete 40 lines as quickly as possible|40ラインをできるだけ早くクリアする

        clear 40 lines in the shortest amount of time possible.|できるだけ短い時間で40ラインをクリアしましょう。
        score doesn't matter here, just go for the world record!|ここではスコアは関係ありません。世界記録を目指しましょう！

    BLITZ|BLITZ
    a two-minute race against the clock|2分間タイムアタック

        get as many points as possible within 2 minutes!|2分以内にできるだけ多くのポイントを獲得しましょう！
        clear lines to level up and gain more points and speed!|ラインをクリアしてレベルアップし、より多くのポイントとスピードを獲得しましょう！

    ZEN|ZEN
    relax or train in this neverending mode|この終わりのないモードでリラックスしたり、練習したりしましょう

        relax or train in a neverending mode! your progress is stored across games.|この終わりのないモードでリラックスしたり、練習したりしましょう！あなたの進行状況はゲームを超えて保存されます。
        adjust the feel or help train using the ZEN SIDEBAR.|ZENサイドバーを使用して、感触を調整したり、トレーニングに役立てたりしましょう。
        you can undo and redo placements with CTRL+Z and CTRL+Y!|CTRL+ZとCTRL+Yで配置を元に戻したりやり直したりできます！

    CUSTOM|カスタム
    play, train and experiment by your rules|自分のルールでプレイ、トレーニング、実験をしましょう

TETRA CHANNEL|TETRA CHANNEL
leaderboards, achievements, replays and more|ランキング、実績、リプレイなど

    enter replay id, url or username and hit enter...|リプレイID、URL、またはユーザーネームを入力してEnterキーを押してください...

    VISIT THE TETRA CHANNEL SITE|TETRA CHANNEL サイトへ
    VIEW FULL LEADERBOARDS, COUNTRY LEADERBOARDS, USER PAGES AND MORE|ランキング、国別ランキング、ユーザーページなどを表示

    #Leaderboards
    GLOBAL LEADERBOARDS FOR 40 LINES, BLITZ AND QUICK PLAY|40 Lines、Blitz、クイックプレイのグローバルランキング

    ME|あなた
    VIEW YOUR OWN RECORDS AND RECENT GAMES|自分の記録と最近のゲームを表示

    PLAYERS|プレイヤー
    TETRA LEAGUE LEADERBOARDS AND XP|テトラリーグのランキングとXP

    ACHIEVEMENTS|実績
    VIEW YOUR ACHIEVEMENTS AND THEIR PROGRESS|実績とその進行状況を表示

CONFIG|設定
tweak your [*]|TETR.IOの体験をカスタマイズ

    ACCOUNT|アカウント
    change account settings|アカウント設定を変更

        ORDER HISTORY|注文履歴
        view previous orders|過去の注文を確認

        You are currently not a supporter.|現在、サポーターではありません。
        Become a supporter or gift supporter status today and directly support TETR.IO development!|今日、サポーターになったり、サポーターのステータスをギフトして、TETR.IOの開発を直接サポートしましょう！

        SUPPORT OR GIFT|サポートまたはギフト

        LOG OUT ALL|全てログアウト
        LOG OUT|ログアウト

        AVATAR|アイコン
